,City,Lat,Humidity,Wind_Speed,Temp_Max,Cloudiness,Date,Lng,Country
82,port hardy,50.7,49.0,11.41,68.0,75.0,1589235854,-127.42,CA
83,petropavlovka,50.61,49.0,3.65,50.23,78.0,1589235855,105.32,RU
84,atambua,-9.11,87.0,5.21,71.4,93.0,1589235855,124.89,ID
85,vacaria,-28.51,52.0,2.37,70.0,84.0,1589235855,-50.93,BR
86,benfleet,51.56,80.0,5.82,43.0,7.0,1589235855,0.56,GB
87,sayanskiy,,,,,,,,
88,thompson,55.74,21.0,12.75,39.2,5.0,1589235855,-97.86,CA
89,shimoda,34.67,84.0,3.67,70.0,3.0,1589235856,138.95,JP
90,san cristobal,7.77,49.0,9.17,93.2,20.0,1589235856,-72.22,VE
91,teguldet,57.31,64.0,1.95,57.4,43.0,1589235856,88.17,RU
92,lebu,-37.62,80.0,12.28,54.12,0.0,1589235856,-73.65,CL
93,kenora,49.82,22.0,12.75,42.8,20.0,1589235722,-94.43,CA
94,samarai,-10.62,78.0,14.12,80.04,15.0,1589235856,150.67,PG
95,rawson,-43.3,40.0,11.27,56.34,0.0,1589235857,-65.1,AR
96,vila velha,-20.33,83.0,2.24,72.0,12.0,1589235857,-40.29,BR
97,puerto escondido,15.85,70.0,13.87,86.0,75.0,1589235857,-97.07,MX
98,georgetown,5.41,94.0,5.82,78.8,40.0,1589235602,100.34,MY
99,salto,-31.38,56.0,9.17,68.0,40.0,1589235857,-57.97,UY
100,belushya guba,,,,,,,,
101,sur,22.57,64.0,10.67,84.83,0.0,1589235858,59.53,OM
102,merritt island,28.54,36.0,10.29,79.0,1.0,1589235858,-80.67,US
103,egvekinot,66.32,100.0,3.87,33.22,91.0,1589235858,-179.17,RU
104,yellowknife,62.46,42.0,16.11,48.2,75.0,1589235858,-114.35,CA
105,pisco,-13.7,68.0,16.11,71.6,84.0,1589235858,-76.22,PE
106,lar,26.2,37.0,3.91,82.33,84.0,1589235858,83.97,IN
107,katsuura,35.13,100.0,2.24,68.0,75.0,1589235859,140.3,JP
108,dingle,11.0,85.0,5.35,79.48,97.0,1589235859,122.67,PH
109,karratha,-20.74,36.0,8.39,72.03,0.0,1589235859,116.85,AU
110,tiksi,71.69,98.0,8.66,28.11,100.0,1589235859,128.87,RU
111,san rafael,-34.62,39.0,7.16,55.33,37.0,1589235699,-68.33,AR
112,illintsi,49.1,68.0,15.3,57.74,71.0,1589235859,29.22,UA
113,kisangani,0.52,90.0,1.83,73.26,99.0,1589235860,25.2,CD
114,uglich,57.53,70.0,10.6,51.19,29.0,1589235860,38.33,RU
115,muros,42.78,82.0,1.99,60.01,22.0,1589235860,-9.06,ES
116,lima,-12.04,57.0,11.41,75.2,35.0,1589235665,-77.03,PE
117,bethel,41.37,47.0,16.11,55.99,1.0,1589235860,-73.41,US
118,norman wells,65.28,44.0,16.11,57.2,5.0,1589235860,-126.83,CA
119,vila franca do campo,37.72,72.0,1.12,59.0,20.0,1589235861,-25.43,PT
120,te anau,-45.42,84.0,1.59,44.29,82.0,1589235861,167.72,NZ
121,hermanus,-34.42,86.0,9.42,60.01,96.0,1589235861,19.23,ZA
122,nome,64.5,61.0,11.41,54.0,1.0,1589235861,-165.41,US
123,nguiu,,,,,,,,
124,victoria,22.29,83.0,5.82,78.01,100.0,1589235838,114.16,HK
125,meulaboh,4.14,90.0,5.82,77.11,80.0,1589235862,96.13,ID
126,hirara,24.8,94.0,10.29,77.0,75.0,1589235862,125.28,JP
127,balkanabat,39.51,51.0,4.85,64.36,17.0,1589235862,54.37,TM
128,saint-georges,12.06,74.0,16.11,84.2,20.0,1589235862,-61.75,GD
129,luba,3.46,100.0,4.7,78.8,20.0,1589235862,8.55,GQ
130,vaitupu,,,,,,,,
131,adiake,5.29,94.0,6.98,78.8,20.0,1589235605,-3.3,CI
132,laguna,38.42,23.0,13.87,77.0,40.0,1589235644,-121.42,US
133,quatre cocos,-20.21,60.0,6.93,71.6,75.0,1589235863,57.76,MU
134,codrington,-38.27,73.0,14.81,51.04,100.0,1589235803,141.97,AU
135,jamestown,42.1,94.0,16.11,39.0,90.0,1589235863,-79.24,US
136,ponta do sol,32.67,52.0,9.17,66.2,40.0,1589235863,-17.1,PT
137,bratsk,56.13,45.0,4.47,44.6,96.0,1589235864,101.61,RU
138,mar del plata,-38.0,76.0,2.24,55.99,75.0,1589235864,-57.56,AR
139,mumbwa,-14.98,74.0,4.97,58.14,2.0,1589235864,27.06,ZM
140,geraldton,-28.77,87.0,5.82,51.8,2.0,1589235864,114.6,AU
141,chokurdakh,70.63,98.0,11.01,29.17,90.0,1589235864,147.92,RU
142,snezhnogorsk,69.19,74.0,2.24,33.8,100.0,1589235864,33.25,RU
143,tarudant,,,,,,,,
144,kodiak,57.79,50.0,12.75,51.8,90.0,1589235865,-152.41,US
145,kytmanovo,53.46,66.0,3.47,62.02,100.0,1589235865,85.45,RU
146,sinkat,,,,,,,,
147,hecun,36.53,30.0,6.69,63.03,0.0,1589235865,114.11,CN
148,satana,20.58,35.0,4.05,74.07,0.0,1589235865,74.2,IN
149,emerald,-23.53,59.0,11.41,59.0,34.0,1589235866,148.17,AU
150,sentyabrskiy,,,,,,,,
151,san policarpo,12.18,80.0,5.44,82.36,25.0,1589235866,125.51,PH
152,kibaya,-5.3,100.0,3.74,57.78,87.0,1589235866,36.57,TZ
153,maracacume,-2.04,93.0,2.73,76.55,100.0,1589235866,-45.96,BR
154,ondjiva,-17.07,51.0,5.01,66.65,91.0,1589235866,15.73,AO
155,inhambane,-23.86,71.0,4.03,67.68,18.0,1589235867,35.38,MZ
156,kibre mengist,5.88,96.0,0.65,61.48,84.0,1589235867,38.98,ET
157,ahipara,-35.17,71.0,11.16,61.47,100.0,1589235867,173.17,NZ
158,bandarbeyla,9.49,79.0,6.53,82.49,72.0,1589235867,50.81,SO
159,tubuala,9.52,83.0,4.7,88.0,40.0,1589235867,-79.03,PA
160,atasu,48.68,65.0,2.55,60.42,27.0,1589235867,71.64,KZ
161,babushkin,51.71,62.0,4.03,43.7,87.0,1589235868,105.86,RU
162,nelson bay,-32.72,70.0,11.41,52.0,20.0,1589235761,152.15,AU
163,henties bay,-22.12,82.0,3.0,62.01,0.0,1589235868,14.28,NA
164,arraial do cabo,-22.97,73.0,12.75,75.2,0.0,1589235868,-42.03,BR
165,galveston,29.37,61.0,16.11,79.0,20.0,1589235868,-94.97,US
166,grand river south east,,,,,,,,
167,mayskiy,47.69,82.0,17.9,57.2,29.0,1589235869,40.1,RU
168,coihaique,-45.58,75.0,2.24,46.4,75.0,1589235861,-72.07,CL
169,hamilton,39.18,49.0,5.82,48.99,90.0,1589235630,-84.53,US
170,saint anthony,45.02,22.0,17.22,55.99,1.0,1589235869,-93.22,US
171,saint-pierre,-21.34,60.0,6.93,68.0,75.0,1589235869,55.48,RE
172,kavaratti,10.57,74.0,10.11,85.17,82.0,1589235870,72.64,IN
173,la ronge,55.1,22.0,11.41,42.8,40.0,1589235870,-105.28,CA
174,phan rang,,,,,,,,
175,mahebourg,-20.41,60.0,6.93,71.6,75.0,1589235870,57.7,MU
176,pangody,65.85,97.0,14.61,32.14,100.0,1589235870,74.49,RU
177,cabedelo,-6.98,88.0,5.82,77.0,20.0,1589235870,-34.83,BR
178,baniachang,24.52,58.0,1.57,80.37,63.0,1589235871,91.37,BD
179,hay river,60.82,22.0,14.99,59.0,75.0,1589235871,-115.8,CA
180,urumqi,43.8,8.0,20.13,75.2,100.0,1589235871,87.6,CN
181,ca mau,9.18,79.0,2.1,80.64,99.0,1589235871,105.15,VN
182,saint-augustin,51.23,72.0,18.05,42.21,49.0,1589235871,-58.65,CA
183,chuy,-33.7,70.0,6.64,56.41,21.0,1589235871,-53.46,UY
184,mahajanga,-15.72,69.0,8.59,77.0,20.0,1589235872,46.32,MG
185,lompoc,34.64,63.0,10.29,68.0,1.0,1589235872,-120.46,US
186,yumen,40.28,38.0,5.5,47.53,56.0,1589235872,97.2,CN
187,belyy yar,53.6,81.0,3.49,48.2,43.0,1589235872,91.39,RU
188,nyurba,63.28,90.0,7.58,30.94,99.0,1589235872,118.33,RU
189,strezhevoy,60.73,81.0,6.71,53.6,64.0,1589235872,77.59,RU
190,san jose,37.34,30.0,18.34,73.99,75.0,1589235616,-121.89,US
191,jalu,29.03,15.0,10.36,79.0,0.0,1589235873,21.55,LY
192,kingsville,27.52,51.0,18.34,86.0,75.0,1589235613,-97.86,US
193,barrow,71.29,92.0,20.8,28.4,90.0,1589235873,-156.79,US
194,saint-francois,46.42,75.0,5.82,44.6,90.0,1589235873,3.91,FR
195,nikolskoye,59.7,86.0,15.66,37.99,90.0,1589235873,30.79,RU
196,narsaq,60.92,29.0,42.5,50.0,100.0,1589235874,-46.05,GL
197,pontianak,-0.03,94.0,2.35,78.8,40.0,1589235874,109.33,ID
198,riyadh,24.69,36.0,2.24,78.8,74.0,1589235874,46.72,SA
199,ilo,-17.64,76.0,3.22,65.25,12.0,1589235874,-71.34,PE
200,ust-kuyga,70.02,97.0,4.43,30.81,99.0,1589235874,135.6,RU
201,nikel,69.41,95.0,41.38,32.0,75.0,1589235874,30.22,RU
202,hoopstad,-27.83,37.0,3.89,58.84,0.0,1589235875,25.91,ZA
203,marana,32.44,8.0,10.29,98.01,1.0,1589235659,-111.23,US
204,bathsheba,13.22,69.0,23.04,82.4,40.0,1589235875,-59.52,BB
205,longyearbyen,78.22,67.0,2.24,19.4,40.0,1589235875,15.64,SJ
206,alofi,-19.06,83.0,5.82,82.4,75.0,1589235875,-169.92,NU
207,torbay,47.67,56.0,24.16,44.01,20.0,1589235875,-52.73,CA
208,dolbeau,,,,,,,,
209,washington,47.5,32.0,8.03,73.0,1.0,1589235603,-120.5,US
210,bubaque,11.28,79.0,13.94,77.99,90.0,1589235876,-15.83,GW
211,leningradskiy,69.38,95.0,6.46,34.77,14.0,1589235876,178.42,RU
212,trairi,-3.28,80.0,8.9,79.45,0.0,1589235876,-39.27,BR
213,rio gallegos,-51.62,87.0,10.29,42.8,75.0,1589235876,-69.22,AR
214,lolua,,,,,,,,
215,altamira,-3.2,79.0,3.36,84.2,40.0,1589235877,-52.21,BR
216,lensk,60.73,90.0,4.0,32.54,1.0,1589235877,114.93,RU
217,maibong,25.3,85.0,2.8,68.63,91.0,1589235877,93.17,IN
218,faya,18.39,68.0,5.91,68.0,0.0,1589235877,42.45,SA
219,pacific grove,36.62,33.0,6.93,75.2,1.0,1589235730,-121.92,US
220,coos bay,43.37,59.0,14.99,73.99,90.0,1589235878,-124.22,US
221,noumea,-22.28,73.0,2.24,73.99,20.0,1589235878,166.46,NC
222,puerto ayora,-0.74,78.0,14.99,80.6,40.0,1589235878,-90.35,EC
223,san quintin,30.48,65.0,15.68,68.09,0.0,1589235878,-115.95,MX
224,aden,12.78,56.0,3.65,88.77,0.0,1589235878,45.04,YE
225,axim,4.87,83.0,6.42,78.84,100.0,1589235879,-2.24,GH
226,bilma,18.69,12.0,4.03,82.69,0.0,1589235879,12.92,NE
227,leua,48.22,52.0,13.87,64.4,12.0,1589235879,18.61,SK
228,ust-ishim,57.69,64.0,2.46,62.04,89.0,1589235665,71.17,RU
229,dikson,73.51,99.0,1.88,25.25,68.0,1589235879,80.55,RU
230,kysyl-syr,63.9,94.0,9.01,28.6,97.0,1589235879,122.76,RU
231,fort nelson,58.81,21.0,5.82,62.6,20.0,1589235880,-122.7,CA
232,amderma,,,,,,,,
233,kwekwe,-18.93,68.0,5.68,53.02,96.0,1589235880,29.81,ZW
234,port-gentil,-0.72,94.0,3.36,80.6,20.0,1589235880,8.78,GA
235,kondinskoye,59.65,73.0,2.35,61.77,100.0,1589235880,67.41,RU
236,bambous virieux,-20.34,60.0,6.93,71.6,75.0,1589235880,57.76,MU
237,flinders,-34.58,86.0,4.0,51.01,10.0,1589235682,150.86,AU
238,sarab,38.61,63.0,1.1,52.25,3.0,1589235881,44.99,IR
239,odweyne,9.41,58.0,3.49,78.15,83.0,1589235881,45.06,SO
240,fairbanks,64.84,26.0,8.05,78.01,1.0,1589235764,-147.72,US
241,guerrero negro,27.98,54.0,16.64,71.96,4.0,1589235881,-114.06,MX
242,kastamonu,41.5,63.0,0.31,51.67,22.0,1589235611,33.67,TR
243,uttarkashi,30.73,36.0,6.73,60.85,29.0,1589235882,78.45,IN
244,baoying,33.23,58.0,10.71,59.47,0.0,1589235882,119.31,CN
245,kaitangata,-46.28,76.0,4.0,52.0,100.0,1589235882,169.85,NZ
246,malayal,7.21,94.0,1.12,77.0,75.0,1589235882,121.94,PH
247,port hedland,-20.32,42.0,5.82,66.2,0.0,1589235882,118.57,AU
248,sargur,11.98,83.0,1.63,72.81,98.0,1589235882,76.42,IN
249,walvis bay,-22.96,82.0,3.0,62.01,0.0,1589235883,14.51,NA
250,labuhan,-6.88,89.0,7.38,78.24,90.0,1589235883,112.21,ID
251,otjimbingwe,-22.35,34.0,6.89,67.42,17.0,1589235883,16.13,NA
252,bagotville,-28.98,72.0,10.29,59.0,75.0,1589235883,153.42,AU
253,portland,45.52,30.0,10.29,68.0,75.0,1589235862,-122.68,US
254,kawalu,-7.38,92.0,0.85,73.44,99.0,1589235883,108.21,ID
255,baixa grande,-11.96,88.0,6.4,70.11,46.0,1589235884,-40.17,BR
256,kamenskoye,,,,,,,,
257,huangzhai,38.08,57.0,2.24,50.0,0.0,1589235884,112.66,CN
258,ati,13.22,26.0,5.19,89.89,30.0,1589235884,18.34,TD
259,verin,41.94,72.0,2.33,53.01,95.0,1589235884,-7.44,ES
260,launceston,-41.45,87.0,17.22,53.6,90.0,1589235880,147.17,AU
261,ongole,15.5,86.0,8.28,80.04,100.0,1589235885,80.05,IN
262,faanui,-16.48,79.0,11.63,81.57,2.0,1589235885,-151.75,PF
263,sitka,57.05,51.0,4.7,60.8,20.0,1589235885,-135.33,US
264,kapchorwa,1.4,93.0,2.28,58.55,100.0,1589235885,34.45,UG
265,kushiro,42.98,100.0,1.12,50.0,75.0,1589235885,144.37,JP
266,maniitsoq,65.42,87.0,2.59,40.84,100.0,1589235885,-52.9,GL
267,tsihombe,,,,,,,,
268,esso,55.93,90.0,0.78,32.85,14.0,1589235886,158.7,RU
269,castelo do piaui,-5.32,86.0,3.04,75.67,76.0,1589235886,-41.55,BR
270,quelimane,-17.88,88.0,3.36,68.0,20.0,1589235886,36.89,MZ
271,tessalit,20.2,12.0,3.15,84.4,5.0,1589235886,1.01,ML
272,hasaki,35.73,88.0,4.7,68.0,75.0,1589235887,140.83,JP
273,pervomayskoye,43.92,69.0,7.94,54.97,2.0,1589235887,46.71,RU
274,ulaangom,49.98,38.0,0.65,53.78,95.0,1589235887,92.07,MN
275,fortuna,40.6,67.0,19.46,66.0,75.0,1589235887,-124.16,US
276,cidreira,-30.18,80.0,8.28,70.29,76.0,1589235887,-50.21,BR
277,frutigen,46.59,67.0,15.01,44.01,100.0,1589235887,7.65,CH
278,borogontsy,62.67,94.0,5.73,32.79,100.0,1589235888,131.17,RU
279,kuytun,54.34,52.0,2.42,49.1,87.0,1589235888,101.5,RU
280,porto novo,6.5,78.0,9.17,82.4,40.0,1589235888,2.6,BJ
281,tutoia,-2.76,86.0,7.11,80.08,38.0,1589235888,-42.27,BR
282,attawapiskat,,,,,,,,
283,nouakchott,18.09,69.0,18.34,75.2,0.0,1589235821,-15.98,MR
284,olafsvik,64.89,79.0,5.14,39.6,46.0,1589235889,-23.71,IS
285,imeni poliny osipenko,52.42,78.0,6.04,46.63,95.0,1589235889,136.49,RU
286,finote selam,10.7,54.0,3.44,66.56,3.0,1589235889,37.27,ET
287,manta,-0.95,70.0,10.29,84.2,40.0,1589235889,-80.73,EC
288,yasnyy,51.03,93.0,14.65,56.73,92.0,1589235889,59.87,RU
289,arkhara,49.42,72.0,6.8,44.29,100.0,1589235889,130.08,RU
290,pangnirtung,66.15,52.0,36.91,46.4,75.0,1589235890,-65.71,CA
291,moscow,55.75,50.0,4.47,60.8,0.0,1589235708,37.62,RU
292,moose factory,51.26,46.0,13.87,28.4,20.0,1589235890,-80.61,CA
293,pevek,69.7,84.0,9.8,35.91,0.0,1589235890,170.31,RU
294,buhovo,42.77,60.0,10.29,68.0,86.0,1589235890,23.57,BG
295,aklavik,68.22,80.0,11.41,33.8,75.0,1589235890,-135.01,CA
296,mana,5.66,85.0,13.06,78.53,89.0,1589235891,-53.78,GF
297,palmer,42.16,66.0,10.29,53.6,75.0,1589235891,-72.33,US
298,cayenne,4.93,100.0,13.78,75.2,75.0,1589235891,-52.33,GF
299,rivera,-30.91,84.0,5.57,65.55,81.0,1589235891,-55.55,UY
300,baculin,7.45,80.0,3.91,79.86,99.0,1589235891,126.58,PH
301,tanout,14.97,12.0,8.25,86.13,0.0,1589235892,8.89,NE
